Season,TeamID,Name,Years_D1,GP,PTS,PTSDiff,Pct,FG,%FG,FG3,%FG3,FT,%FT,OR,DR,DR/OR,AST,TO,AST/TO,STL,STL/TO,BLK,PF,HomePTS,AwayPTS,NeutralPTS,HomeDiff,AwayDiff,NeutralDiff,HomePct,AwayPct,NeutralPct,HomeFG,AwayFG,NeutralFG,Home%FG,Away%FG,Neutral%FG,HomeFG3,AwayFG3,NeutralFG3,Home%FG3,Away%FG3,Neutral%FG3,HomeFT,AwayFT,NeutralFT,Home%FT,Away%FT,Neutral%FT,HomeOR,AwayOR,NeutralOR,HomeDR,AwayDR,NeutralDR,HomeDR/OR,AwayDR/OR,NeutralDR/OR,HomeAst,AwayAst,NeutralAst,HomeTO,AwayTO,NeutralTO,HomeSTL,AwaySTL,NeutralSTL,HomeSTL/TO,AwaySTL/TO,NeutralSTL/TO,HomeBlk,AwayBlk,NeutralBlk,HomePF,AwayPF,NeutralPF,rank
2010,1104,Alabama,37.0,32,68.5,3.72,53.13,44.09,36.09,35.0,7.98,70.73,19.84,12.06,23.13,1.92,13.41,12.81,1.05,7.78,0.61,3.97,18.22,70.53,65.11,67.83,3.69,0.59,-0.56,64.71,33.33,50.0,45.02,43.98,41.69,19.57,9.99,6.52,34.81,33.57,37.93,4.29,2.19,1.51,69.71,71.9,72.13,10.81,5.02,4.01,6.53,3.06,2.47,12.47,6.47,4.19,1.91,2.11,1.7,14.82,12.0,11.5,12.18,14.11,12.7,8.88,6.11,7.2,0.73,0.43,0.57,5.18,2.44,2.83,16.59,19.67,20.67,77
2013,1184,E Kentucky,37.0,31,72.87,6.16,70.97,46.07,34.22,34.35,11.42,78.86,20.14,8.94,18.29,2.05,14.81,11.52,1.29,8.16,0.71,2.06,19.48,53.3,115.11,78.5,3.45,2.48,0.23,65.0,88.89,50.0,45.59,48.99,39.09,22.66,9.65,1.9,34.25,36.46,27.45,7.7,3.1,0.62,76.89,79.92,82.61,8.99,8.63,2.52,4.39,3.81,0.74,8.06,8.74,1.48,1.84,2.3,2.0,11.2,23.11,13.5,7.95,20.0,9.0,8.1,8.56,7.0,1.02,0.43,0.78,1.3,3.67,2.5,12.8,34.67,18.0,106
2013,1203,G Washington,37.0,30,66.27,0.73,43.33,44.1,36.82,27.91,4.23,65.67,22.13,13.37,24.27,1.82,13.43,15.97,0.84,7.77,0.49,4.9,17.6,61.06,73.17,72.0,0.93,-0.03,-0.17,47.06,41.67,0.0,44.6,43.91,38.81,21.18,14.34,1.31,27.27,30.77,0.0,2.41,1.81,0.0,65.45,64.37,83.33,12.68,8.45,1.01,6.57,5.97,0.83,12.53,10.9,0.83,1.91,1.83,1.0,11.24,16.58,13.0,13.24,19.67,18.0,8.29,7.0,8.0,0.63,0.36,0.44,4.88,5.25,1.0,15.65,20.33,18.0,132
2013,1226,Idaho St,37.0,29,56.55,-8.14,17.24,40.56,34.45,31.4,9.57,67.62,21.52,7.72,20.48,2.65,10.24,11.86,0.86,6.93,0.58,3.21,15.9,41.22,95.25,45.33,-4.21,-2.14,-1.79,22.22,12.5,0.0,41.0,39.9,39.47,21.95,9.76,2.74,32.59,29.23,29.63,6.28,2.32,0.98,70.04,65.22,66.67,10.55,9.15,1.83,3.14,4.31,0.28,7.9,10.59,2.0,2.52,2.46,7.25,6.72,18.63,9.0,6.17,24.13,13.3,7.11,7.5,4.3,1.15,0.31,0.33,1.94,5.38,5.0,10.61,26.5,19.33,326
2013,1236,PFW,19.0,31,66.06,-1.68,45.16,43.2,35.06,35.42,10.21,63.07,19.68,10.65,22.65,2.13,12.45,13.45,0.93,7.26,0.54,2.58,17.97,43.42,114.0,77.75,-2.06,0.23,0.16,42.11,50.0,50.0,41.57,46.23,45.26,20.95,8.98,5.13,35.5,36.5,33.33,6.4,2.44,1.37,65.52,61.38,62.39,7.42,8.69,3.56,3.61,5.68,1.35,7.97,10.97,3.71,2.21,1.93,2.74,9.05,19.63,14.25,7.68,26.5,14.8,7.74,5.75,8.0,1.01,0.22,0.54,1.74,4.88,2.0,10.47,35.0,19.5,230
2014,1104,Alabama,37.0,31,66.71,-0.55,38.71,43.84,34.04,33.27,8.61,68.27,23.31,9.9,22.58,2.28,10.77,11.84,0.91,6.74,0.57,4.23,19.16,49.78,161.75,69.0,1.52,-1.0,-1.06,52.17,0.0,0.0,44.51,42.31,41.81,25.1,4.26,4.69,35.22,30.3,23.81,6.91,0.97,0.73,67.9,70.35,65.05,12.38,7.69,3.24,5.19,2.94,1.77,12.26,7.39,2.94,2.36,2.52,1.65,8.52,24.75,9.75,7.7,33.75,13.8,7.17,3.25,7.8,0.93,0.1,0.56,3.22,10.75,3.5,12.0,57.75,21.75,107
2014,1300,NC Central,14.0,31,72.23,12.97,83.87,45.43,33.1,32.57,6.97,72.58,26.84,11.45,23.16,2.02,14.1,11.39,1.24,7.68,0.67,3.84,20.1,52.82,100.91,77.0,5.94,4.52,2.52,70.59,100.0,100.0,44.95,45.42,48.61,18.67,11.3,3.13,31.25,30.38,46.94,3.8,2.14,1.03,70.73,72.85,77.27,9.07,14.74,3.04,4.55,5.9,1.0,9.61,11.16,2.39,2.11,1.89,2.39,11.65,17.82,14.33,8.0,16.73,11.0,8.41,7.36,4.7,1.05,0.44,0.42,3.65,4.73,1.67,13.47,30.82,18.33,85
2014,1322,Northwestern LA,37.0,29,85.45,1.07,51.72,46.78,35.47,34.0,6.82,73.76,22.24,12.48,25.0,2.0,16.52,13.21,1.25,8.1,0.61,5.0,20.59,56.11,144.67,83.0,-0.83,1.59,0.31,44.44,66.67,50.0,46.83,47.21,44.26,22.36,10.94,2.18,31.95,38.36,34.21,4.04,2.26,0.52,73.52,73.97,73.77,9.52,10.9,1.82,4.9,6.41,1.17,9.97,13.28,1.76,2.04,2.07,1.5,11.39,27.67,12.5,7.94,24.33,10.5,8.83,7.44,4.5,1.11,0.31,0.43,4.0,7.11,4.5,13.22,35.89,18.0,180
2015,1116,Arkansas,37.0,34,78.03,7.88,76.47,44.74,35.13,35.03,8.56,72.42,21.18,13.0,22.76,1.75,16.15,11.74,1.38,7.76,0.66,4.76,18.97,71.95,96.33,67.67,7.26,0.5,0.12,77.27,77.78,66.67,45.18,44.61,41.46,23.52,9.05,2.56,35.57,35.67,27.27,5.8,2.3,0.45,71.73,72.32,77.46,13.0,6.11,2.07,8.06,3.85,1.09,13.59,7.29,1.88,1.69,1.89,1.73,15.77,19.44,9.0,9.95,16.11,11.7,8.36,7.11,5.3,0.84,0.44,0.46,4.64,5.44,3.67,14.95,27.56,22.67,22
2015,1169,CS Northridge,31.0,31,64.16,-7.0,22.58,42.15,34.54,33.01,5.13,76.57,25.79,9.42,23.9,2.54,13.42,12.94,1.04,5.39,0.42,3.55,18.26,47.74,93.6,73.0,-4.52,-2.58,0.1,26.32,10.0,50.0,42.36,39.53,55.29,22.02,10.16,2.36,31.77,35.11,34.78,3.07,1.66,0.4,78.83,73.61,78.57,12.92,10.66,2.21,4.42,4.52,0.48,11.16,11.52,1.23,2.53,2.55,2.53,10.21,19.4,14.0,8.42,20.6,17.5,5.16,5.8,5.5,0.61,0.28,0.31,3.79,3.6,1.0,13.11,28.1,18.0,277
2015,1366,Savannah St,17.0,29,55.72,-11.9,24.14,40.82,38.0,25.19,6.0,56.5,18.01,10.55,19.52,1.85,9.21,16.28,0.57,8.72,0.54,2.38,19.59,28.48,137.14,58.0,-10.9,-0.79,-0.21,23.81,28.57,0.0,40.29,42.49,40.63,27.1,9.28,1.61,26.3,22.73,22.22,4.39,1.24,0.37,59.24,54.15,,8.73,9.28,0.0,4.17,5.86,0.52,6.93,11.83,0.76,1.66,2.02,1.47,5.14,20.86,13.0,7.52,43.43,10.0,8.81,8.86,6.0,1.17,0.2,0.6,1.43,5.43,1.0,9.38,50.29,19.0,335
2015,1389,St Peter's,37.0,34,61.21,0.97,47.06,41.18,33.54,34.28,9.27,66.04,23.64,10.38,22.24,2.14,10.12,12.15,0.83,6.26,0.52,2.97,19.24,48.18,78.85,59.25,-0.65,1.03,0.59,41.18,53.85,50.0,39.59,42.64,43.68,16.53,13.36,3.65,29.66,37.56,45.0,4.13,3.84,1.3,64.4,66.95,68.24,9.56,11.29,2.79,3.85,5.53,1.0,8.06,11.41,2.76,2.09,2.06,2.76,7.76,13.0,10.75,8.82,15.77,14.5,6.35,6.31,5.8,0.72,0.4,0.4,2.88,3.54,1.5,14.24,25.77,19.25,208
2016,1120,Auburn,37.0,31,70.71,-7.39,35.48,39.8,33.03,34.04,12.41,63.19,21.53,11.16,25.42,2.28,11.35,13.81,0.82,5.35,0.39,4.06,21.29,64.0,85.11,68.5,-2.55,-2.97,-1.87,44.44,22.22,25.0,40.33,40.11,37.01,19.11,9.63,4.29,35.68,33.46,28.57,7.16,3.88,1.37,67.26,58.3,59.57,12.09,6.89,2.55,5.23,4.19,1.74,12.87,9.35,3.19,2.46,2.23,1.83,10.44,13.89,9.75,10.89,19.33,14.5,4.72,6.22,6.3,0.43,0.32,0.43,3.94,5.0,2.5,16.56,30.33,22.25,175
2016,1227,IL Chicago,37.0,28,65.43,-13.71,10.71,37.89,34.5,30.42,6.66,61.86,24.34,13.39,27.21,2.03,10.79,15.57,0.69,5.5,0.35,5.21,21.75,54.75,83.4,61.0,-8.25,-4.21,-1.25,18.75,0.0,0.0,38.22,37.7,36.21,19.65,12.55,2.29,31.16,28.95,32.35,3.66,2.4,0.6,62.18,59.88,77.14,12.12,10.75,1.47,6.0,6.61,0.79,13.14,11.93,2.14,2.19,1.81,2.73,11.06,10.2,11.5,11.63,21.6,17.0,5.63,5.7,3.5,0.48,0.26,0.21,5.0,5.4,6.0,16.63,30.0,21.5,332
2016,1454,WI Milwaukee,31.0,31,77.68,4.9,58.06,44.72,33.06,35.87,11.96,77.53,21.93,9.42,25.77,2.74,16.48,10.94,1.51,4.26,0.39,2.52,17.29,70.69,87.36,75.43,2.19,1.87,0.84,53.85,63.64,57.14,45.49,45.03,42.82,13.83,12.04,7.18,39.61,34.44,32.12,5.07,4.32,2.57,77.42,76.02,80.0,9.97,6.98,4.98,3.65,3.39,2.39,9.9,10.1,5.77,2.72,2.98,2.42,13.69,19.36,17.14,8.08,13.09,12.9,3.23,4.91,5.1,0.4,0.38,0.4,3.0,2.18,2.14,15.23,20.36,16.29,135
2017,1165,Cornell,36.0,28,70.5,-6.86,25.0,44.82,35.97,33.33,11.55,69.81,16.51,7.39,25.71,3.48,14.0,14.32,0.98,5.11,0.36,2.61,18.32,51.93,90.42,81.0,-6.36,-0.79,0.29,14.29,33.33,50.0,41.82,47.81,48.33,16.97,16.06,2.94,30.95,34.81,40.0,5.47,4.76,1.32,69.05,70.9,64.52,5.88,9.63,1.01,2.86,3.93,0.61,8.82,14.75,2.14,3.09,3.75,3.53,10.86,16.92,18.5,10.29,19.0,14.5,4.93,5.75,2.5,0.48,0.3,0.17,2.14,3.08,3.0,12.14,24.92,22.0,279
2018,1135,Brown,36.0,26,75.92,-3.12,38.46,42.69,33.59,32.14,9.07,74.8,23.76,11.0,24.92,2.27,12.5,13.62,0.92,6.38,0.47,2.92,20.85,51.89,130.0,,-1.92,-1.19,0.0,38.89,37.5,,42.87,42.28,,23.45,10.13,0.0,30.71,35.23,,5.93,3.14,0.0,77.32,72.62,,11.4,12.36,0.0,5.0,6.0,0.0,11.5,13.42,0.0,2.3,2.24,,9.11,20.13,,8.39,25.38,,6.39,6.38,,0.76,0.25,,1.89,5.25,,13.39,37.63,,268
2018,1454,WI Milwaukee,31.0,31,68.42,0.1,48.39,44.58,37.06,33.94,10.47,66.87,15.42,8.58,26.1,3.04,13.13,12.29,1.07,6.06,0.49,3.81,16.58,56.59,85.5,66.5,0.0,0.13,-0.03,47.06,50.0,50.0,44.72,45.36,39.34,20.74,14.05,2.26,33.98,35.02,26.32,5.75,4.24,0.47,65.96,66.21,77.14,7.31,6.84,1.27,3.77,4.23,0.58,12.06,12.39,1.65,3.2,2.93,2.83,10.41,17.58,9.5,10.24,15.92,8.0,5.71,6.0,9.5,0.56,0.38,1.19,3.88,3.58,4.5,12.53,21.75,20.0,213
2019,1323,Notre Dame,37.0,33,68.67,-0.3,42.42,39.33,34.25,31.52,12.0,74.41,19.51,11.21,25.39,2.26,12.82,9.27,1.38,5.42,0.58,4.48,13.79,67.7,68.11,74.75,2.39,-2.33,-0.36,55.0,11.11,50.0,39.34,38.46,41.13,20.92,8.83,4.5,31.53,30.83,33.33,7.46,3.27,1.28,75.85,70.16,74.16,12.75,3.84,2.91,7.12,2.85,1.24,14.82,7.36,3.21,2.08,2.59,2.59,12.45,13.22,13.75,9.1,11.22,5.8,5.9,4.67,4.8,0.65,0.42,0.83,4.8,4.33,3.25,13.8,14.22,12.75,107
2020,1312,NJIT,15.0,29,63.1,-5.31,27.59,40.27,36.07,30.43,8.96,67.98,18.91,9.17,23.45,2.56,10.41,10.93,0.95,5.66,0.52,2.9,17.24,40.44,100.18,,-4.03,-1.28,0.0,22.22,36.36,,40.83,39.37,,22.51,13.55,0.0,30.64,30.0,,6.01,2.95,0.0,64.53,70.91,,8.25,10.66,0.0,3.59,5.59,0.0,8.97,14.48,0.0,2.5,2.59,,6.56,16.73,,5.78,19.36,,5.61,5.73,,0.97,0.3,,1.83,4.64,,10.44,28.36,,304
2020,1444,W Michigan,37.0,30,67.8,-5.17,36.67,41.93,34.46,33.12,10.28,71.45,20.8,8.67,25.93,2.99,10.93,13.07,0.84,4.63,0.35,2.3,18.37,46.7,124.25,53.0,-3.53,-0.77,-0.87,40.0,37.5,0.0,42.84,41.72,33.64,23.11,9.54,1.82,35.21,31.46,20.45,7.08,2.75,0.44,72.66,69.36,82.14,9.54,10.13,1.13,4.03,4.2,0.43,11.37,12.87,1.7,2.82,3.06,3.92,7.6,20.13,7.5,7.0,29.0,10.0,4.35,5.25,5.0,0.62,0.18,0.5,1.1,5.13,3.0,11.25,36.25,18.0,236
2003,1127,Binghamton,20.0,27,66.56,0.37,51.85,42.03,36.12,34.97,11.52,67.59,16.25,11.7,24.22,2.07,12.7,15.07,0.84,6.44,0.43,6.48,18.26,38.1,160.17,74.0,-2.04,2.22,0.19,45.0,66.67,100.0,40.25,47.21,45.28,25.38,9.4,1.34,33.63,35.94,61.11,8.35,2.56,0.61,69.63,65.16,75.0,7.4,8.01,0.83,5.04,6.37,0.3,10.63,12.41,1.19,2.11,1.95,4.0,7.1,31.0,15.0,7.7,39.33,17.0,6.35,7.17,4.0,0.82,0.18,0.24,4.65,12.33,8.0,10.2,46.67,9.0,210
2003,1352,Robert Morris,37.0,26,70.92,-3.77,34.62,46.86,35.63,37.55,10.14,71.76,18.6,9.5,21.04,2.21,11.62,13.54,0.86,5.38,0.4,2.12,18.42,43.18,123.33,,-3.65,-0.12,0.0,29.41,44.44,,45.04,50.42,,22.67,12.96,0.0,36.1,40.0,,6.13,4.01,0.0,74.77,69.14,,9.0,9.6,0.0,4.12,5.38,0.0,8.0,13.04,0.0,1.94,2.42,,7.47,19.44,,7.59,24.78,,5.12,5.89,,0.67,0.24,,1.18,3.89,,10.06,34.22,,285
2004,1281,Missouri,37.0,29,74.55,1.72,55.17,44.64,34.88,35.13,9.34,71.07,20.91,13.83,24.07,1.74,14.0,14.45,0.97,5.76,0.4,4.41,19.17,68.75,85.44,73.25,2.59,0.07,-0.93,62.5,55.56,25.0,45.1,45.92,40.32,19.57,10.68,4.63,35.58,33.33,36.9,5.37,2.54,1.43,71.68,71.36,68.13,11.24,6.8,2.87,6.59,5.41,1.83,11.9,8.83,3.34,1.81,1.63,1.83,13.0,15.89,13.75,11.94,18.56,15.3,6.06,5.44,5.3,0.51,0.29,0.34,4.19,4.89,4.25,15.69,24.11,22.0,58
2004,1403,Texas Tech,37.0,32,73.41,6.97,68.75,46.42,36.95,33.91,5.02,73.77,21.07,11.31,22.69,2.01,14.75,12.47,1.18,8.25,0.66,3.53,16.72,57.09,148.4,70.2,6.06,0.84,0.06,68.18,80.0,60.0,45.99,50.18,44.78,25.42,5.87,5.66,32.9,35.82,36.0,3.24,1.02,0.77,75.07,73.23,69.79,12.05,6.17,2.85,5.84,3.59,1.88,11.47,7.47,3.75,1.96,2.08,2.0,11.77,32.4,10.2,8.86,29.0,11.8,8.77,5.8,8.4,0.99,0.2,0.71,2.36,8.2,4.0,11.82,37.6,17.4,29
2005,1145,Canisius,37.0,29,72.03,-4.28,37.93,43.61,36.43,35.91,9.33,68.89,17.81,11.07,25.0,2.26,13.07,13.52,0.97,7.38,0.55,4.21,18.45,56.5,104.33,61.5,-2.79,-0.86,-0.62,37.5,33.33,50.0,43.46,46.18,37.89,19.87,12.45,4.12,31.62,43.58,34.25,4.4,3.73,1.2,72.4,66.8,65.33,7.66,7.8,2.35,4.55,5.03,1.48,9.9,11.72,3.38,2.17,2.33,2.28,10.81,18.0,11.0,10.06,20.22,12.3,7.13,7.11,9.0,0.71,0.35,0.73,3.06,6.11,4.5,13.13,27.56,19.25,267
2006,1401,Texas A&M,37.0,29,69.21,8.76,72.41,44.99,34.03,35.85,9.47,67.51,22.47,10.38,21.31,2.05,16.76,13.41,1.25,8.66,0.65,2.97,21.59,59.62,99.83,78.0,7.17,0.59,1.0,76.19,66.67,50.0,44.47,45.28,49.52,24.27,7.17,2.59,34.62,36.07,45.45,6.28,2.19,1.0,67.63,65.52,74.42,15.2,5.68,1.59,7.0,2.9,0.48,13.17,6.38,1.76,1.88,2.2,3.64,15.43,20.5,19.5,12.24,19.0,9.0,9.19,8.17,4.5,0.75,0.43,0.5,2.76,3.0,5.0,18.81,31.67,20.5,36
2006,1431,UTEP,37.0,27,64.7,5.81,66.67,43.67,34.34,33.66,7.9,66.18,23.41,10.44,25.56,2.45,14.48,13.19,1.1,7.0,0.53,2.85,14.63,51.22,99.86,63.0,4.56,0.67,0.59,66.67,71.43,50.0,44.18,41.94,45.26,23.24,8.64,2.46,32.25,34.31,43.75,5.09,2.0,0.8,66.56,67.18,57.78,11.85,10.07,1.49,5.33,4.22,0.89,13.56,10.59,1.41,2.54,2.51,1.58,12.33,20.0,14.5,9.28,23.43,12.5,7.83,5.71,4.0,0.84,0.24,0.32,2.39,4.43,1.5,10.33,26.0,13.5,87
2007,1175,Delaware St,37.0,32,59.09,0.63,62.5,43.72,34.8,34.01,10.63,74.5,19.78,10.5,16.78,1.6,11.44,12.13,0.94,5.88,0.48,2.75,15.88,32.65,103.6,60.0,-2.16,2.31,0.47,47.06,90.0,60.0,41.96,47.53,42.62,18.09,11.21,5.5,31.27,37.42,38.14,5.61,3.07,1.96,76.67,72.86,76.39,6.08,10.79,2.91,2.91,5.69,1.91,5.31,8.84,2.63,1.83,1.55,1.38,5.88,20.5,12.2,6.18,22.2,12.2,6.0,6.5,4.2,0.97,0.29,0.34,1.59,4.6,3.0,8.18,29.5,14.8,164
2007,1268,Maryland,37.0,32,79.5,11.91,75.0,47.89,36.05,38.25,7.23,69.85,20.68,12.63,25.94,2.05,17.34,15.78,1.1,7.53,0.48,6.91,18.22,77.57,87.89,62.0,9.88,2.13,-0.09,80.95,66.67,50.0,48.91,45.9,45.45,24.61,9.67,1.77,39.13,38.4,29.41,4.95,1.89,0.39,72.52,66.23,58.54,13.8,5.94,0.94,8.19,3.88,0.56,17.28,7.5,1.16,2.11,1.94,2.06,17.38,18.22,13.0,15.38,16.44,17.0,7.52,7.22,9.0,0.49,0.44,0.53,7.14,6.33,7.0,16.57,21.56,20.5,14
2007,1339,Portland,37.0,31,60.77,-9.06,25.81,41.06,35.46,29.95,6.74,73.09,22.35,11.9,23.45,1.97,11.39,16.87,0.67,4.13,0.24,2.13,17.97,47.6,91.56,54.0,-5.03,-3.68,-0.35,35.0,11.11,0.0,40.2,42.91,40.59,21.87,11.41,2.18,32.13,28.97,16.67,4.25,2.23,0.27,66.67,79.54,80.77,10.3,10.93,1.11,5.74,5.42,0.74,11.13,10.71,1.61,1.94,1.98,2.17,9.55,16.0,9.0,12.95,25.78,16.0,4.15,4.22,3.5,0.32,0.16,0.22,1.75,3.22,1.0,13.5,28.56,15.0,251
2007,1421,UNC Asheville,35.0,27,67.78,-6.67,29.63,42.92,36.28,35.71,8.47,67.25,18.96,11.56,24.07,2.08,13.89,16.19,0.86,6.81,0.42,4.3,17.04,38.0,111.09,,-6.11,-0.56,0.0,18.75,45.45,,41.07,45.51,,20.22,16.07,0.0,37.78,32.32,,5.57,2.9,0.0,68.42,66.67,,6.39,12.57,0.0,4.19,7.37,0.0,8.41,15.67,0.0,2.01,2.13,,8.44,21.82,,8.75,27.0,,7.56,5.73,,0.86,0.21,,2.25,7.27,,8.69,29.18,,268
